Name	Value	Access	
CANFD.TMB[0]_DF[2]	0x0000'0000	ReadWrite	
CANFD.TMB[0]_DF[3]	0x0000'0000	ReadWrite	
CANFD.TMB[0]_DF[4]	0x0000'0000	ReadWrite	
CANFD.TMB[0]_DF[5]	0x0000'0000	ReadWrite	
CANFD.TMB[0]_DF[6]	0x0000'0000	ReadWrite	
CANFD.TMB[0]_DF[7]	0x0000'0000	ReadWrite	
CANFD.TMB[0]_DF[8]	0x0000'0000	ReadWrite	
CANFD.TMB[0]_DF[9]	0x0000'0000	ReadWrite	
CANFD.TMB[0]_DF[10]	0x0000'0000	ReadWrite	
CANFD.TMB[0]_DF[11]	0x0000'0000	ReadWrite	
CANFD.TMB[0]_DF[12]	0x0000'0000	ReadWrite	
CANFD.TMB[0]_DF[13]	0x0000'0000	ReadWrite	
CANFD.TMB[0]_DF[14]	0x0000'0000	ReadWrite	
CANFD.TMB[0]_DF[15]	0x0000'0000	ReadWrite	
CANFD.TMB[0]_DATA[0]	0x00	ReadWrite	
CANFD.TMB[0]_DATA[1]	0x00	ReadWrite	
